Este Norte Cota Ni Fe Mg SiO2 Cr razon SiMg TipoRoca
1643.2 1782.6 93.3 2.8 16.9 12.98 41.49 3 0.76 3.2 42
1643.2 1782.6 96.8 1.4 32.4 1.86 25.18 4.9 1.5 13.54 43
1643.2 1829.6 129.7 1.04 33.3 5.55 20.12 10.5 2.57 3.63 42
1643.2 1817.4 82.6 0.31 6.4 33.31 41.26 1.1 0.28 1.24 50
1643.2 1817.4 79.1 0.55 6.4 34.57 41.2 1.1 0.3 1.19 60
1643.2 1831.8 96.5 2.69 16.7 7.04 48.93 2 0.99 6.95 42
1643.2 1831.8 93 2.46 16.5 6.8 49.83 1.6 0.85 7.33 42
1643.2 1724.2 124.9 0.62 38.3 0.49 12.57 18.2 2.06 25.65 10
1643.3 1801.1 122.5 0.69 39.2 0.68 7.58 18.6 2.7 11.15 10
1643.3 1764.3 115.1 1.14 48.5 1.6 7.59 8.7 2.82 4.74 44
1643.3 1657.7 125.9 0.76 51.2 0.6 5.1 9.9 2.12 8.5 10
1643.3 1798.3 89.5 3.48 13 16.3 46.67 2.2 0.7 2.86 42
1643.3 1798.3 86 3.05 11.5 19.62 45.88 1.7 0.55 2.34 40
1643.4 1792.7 129 0.54 35.2 0.39 13.67 18.8 2.25 35.05 13
1643.4 1734.8 115.1 1.73 46.2 0.89 4.71 11.6 3.63 5.29 44
1643.4 1740.2 103.4 0.68 9.4 21.32 48.63 1.2 0.55 2.28 40
1643.4 1740.2 99.9 0.74 9.9 20.34 48.15 1.2 0.64 2.37 40
1643.4 1771.8 122.4 0.71 43.6 0.75 5.42 15.2 2.81 7.23 10
1643.4 1831.7 89.6 0.57 9.9 20.39 49.01 1.2 0.47 2.4 40
1643.4 1831.7 86.1 0.32 6.7 25.78 42.49 0.9 0.31 1.65 50
1643.4 1782.7 115.1 1.13 46.8 0.77 6.16 13.5 3.4 8 10
1643.4 1726.3 96.8 2.23 17.4 13.61 39.47 2.9 0.67 2.9 42
1643.4 1726.3 93.3 2.22 15.4 15.69 43.05 2.5 0.7 2.74 42
1643.4 1812 115.1 0.81 48 0.67 3.78 12.4 2.63 5.64 10
1643.4 1765.7 122.4 0.69 45.8 1.11 3.41 15.3 3.32 3.07 10
1643.5 1832.8 82.4 0.45 7 29.84 43.58 1.3 0.31 1.46 50
1643.5 1832.8 78.9 0.3 6.3 33.69 41.18 1 0.28 1.22 60
1643.5 1788.4 128.8 0.32 39.8 0.19 6.74 19.3 2.02 35.47 10
1643.5 1705.2 115.2 1.56 50.5 0.5 6.6 8 2.41 13.2 44
1643.5 1667.3 103.3 4.08 8.7 6.28 63.37 1.1 0.36 10.09 80
1643.5 1667.3 99.8 4.78 11.2 9.95 54.09 1.7 0.58 5.44 42
1643.5 1756.6 103.3 2.25 15.9 14.75 43.15 0.8 1.06 2.93 42
1643.5 1756.6 99.8 2.09 18.4 13.99 40.77 0.9 1.62 2.91 42
1643.5 1676.4 115.4 1.34 20.2 0.52 52.94 2.1 1.2 101.81 20
1643.6 1674.9 108.1 3.32 15.6 9.23 49.05 1.6 0.88 5.31 42
1643.6 1820.5 89.5 1.83 13.6 15.77 46.17 2 0.58 2.93 42
1643.6 1820.5 86 1.93 14.2 14.82 45.57 2.2 0.62 3.07 42
1643.6 1731.4 122 0.79 44.7 0.94 5.26 14.9 2.67 5.6 10
1643.7 1676.4 115.4 1.87 19.6 0.82 49.66 2.1 1.19 60.56 43
1643.7 1658.3 89.9 0.92 7 28.84 44.8 0.3 0.41 1.55 50
1643.7 1658.3 86.4 2.03 7.3 22.71 49.16 0.5 0.34 2.16 40
1643.7 1756.8 115.1 1.15 51.6 0.42 4.43 9.6 3.29 10.55 44
1643.7 1811.5 115.1 1.08 45.6 0.45 4.57 12.7 3.43 10.16 10
1643.7 1737.5 96.9 1.09 9.8 17.27 57.02 0.6 0.43 3.3 40
1643.7 1737.5 93.4 1.1 9.7 17.37 55.75 0.6 0.45 3.21 40
1643.7 1834.7 107.6 1.17 45.3 1.64 8.66 4 1.19 5.28 24
