Este Norte Cota Ni Fe Mg SiO2 Cr razon SiMg TipoRoca
1657.3 1753.5 124.9 0.28 29.9 0.52 15.05 23.9 1.71 28.94 13
1657.4 1791.3 89.7 3.68 11.4 15.98 47.75 1.8 0.65 2.99 42
1657.4 1791.3 86.2 3.99 11.6 16.64 46.7 1.9 0.67 2.81 42
1657.4 1836.5 114.9 0.85 49.7 0.45 3.98 10.1 2.88 8.84 10
1657.4 1777.8 127.7 0.3 30.6 0.63 15.28 23 1.74 24.25 13
1657.4 1718.5 115.2 0.94 44.2 0.86 4.9 16.2 2.98 5.7 10
1657.4 1676.4 103.4 1.58 22.6 4.51 39.92 2.7 1.72 8.85 42
1657.4 1676.4 99.9 1.97 27.6 2.96 33.49 3 2.34 11.31 43
1657.4 1814.1 129.3 1.29 42 1.34 8.51 13.6 3.43 6.35 44
1657.4 1694.8 108.1 1.4 42.1 0.98 13.13 7.9 2.46 13.4 44
1657.4 1769.3 90 3.8 11.5 18.37 45.08 2.1 0.61 2.45 40
1657.4 1769.3 86.5 3.04 10.7 17.95 47.81 1.9 0.55 2.66 40
1657.4 1802 89.7 2.67 14 16 46.22 2 0.71 2.89 42
1657.4 1802 86.2 3.02 15.5 15.07 43.74 2.5 0.81 2.9 42
1657.5 1728.2 96.6 1.78 28.6 2.37 31.95 3.7 1.35 13.48 43
1657.5 1728.2 93.1 3 16.8 15.22 40.22 2.3 0.67 2.64 42
1657.5 1776.9 96.8 2.57 17.2 7.57 47.95 1.9 0.79 6.33 42
1657.5 1776.9 93.3 2.4 15.1 12.91 44.51 2.3 0.72 3.45 42
1657.6 1841.2 82.4 3 12.3 9.4 56.78 1.4 0.67 6.04 42
1657.6 1841.2 78.9 2.73 10.6 11.27 58.48 0.9 0.74 5.19 42
1657.6 1642.1 89.7 0.52 6.6 29.52 46.62 0.8 0.29 1.58 50
1657.6 1642.1 86.2 0.6 6.7 29.12 47.96 0.6 0.29 1.65 50
1657.6 1812.2 82.4 2.74 14.2 10.98 50.67 1.4 0.84 4.61 42
1657.6 1812.2 78.9 4.14 10 15.58 52.45 1.1 0.58 3.37 42
1657.6 1825.1 100.4 2.11 36.5 2.97 21.02 6.6 2.4 7.08 44
1657.6 1825.1 103.9 1.55 41.3 1.85 13.54 6.7 2.44 7.32 44
1657.7 1780.2 86.5 2.53 10.9 18.8 46.84 1.6 0.51 2.49 40
1657.7 1786.9 121.9 0.5 35.9 0.56 8.55 20.5 2.17 15.27 13
1657.7 1716 126.2 0.49 34.1 0.4 12.8 19 1.42 32 13
1657.7 1645.8 114.4 1.47 19.1 12.9 42.84 2.6 1.23 3.32 42
1657.8 1682.9 90.4 1.69 12.9 5.27 61.6 1 0.48 11.69 80
1657.8 1682.9 86.9 2.12 15.1 6.82 55.47 1.4 0.58 8.13 42
1657.8 1689.2 96.6 2.49 17.1 5.13 50.73 1.3 0.94 9.89 42
1657.8 1689.2 93.1 2.55 18.4 4.1 48.82 1.5 1.22 11.91 42
1657.8 1802.2 101.9 1.54 38.6 0.99 18.69 5.7 2.09 18.88 44
1657.8 1758 90.2 2.87 14.4 10.96 51.05 2.1 0.68 4.66 42
1657.8 1758 86.7 2.39 17.8 10.79 45.93 3.5 0.87 4.26 42
1657.8 1692.5 103.1 1.15 14.1 1.66 59.51 1.2 1.13 35.85 43
1657.8 1692.5 99.6 0.75 11.1 0.67 69.89 0.8 0.75 104.31 80
1657.8 1715.9 121.4 0.81 42.1 0.93 7.08 15.5 2.6 7.61 10
1657.8 1806.5 106.6 1.66 42.4 1.26 6.7 12.2 3.82 5.32 44
1657.8 1735 121.9 0.57 35.5 0.73 14.65 19.9 1.98 20.07 13
1657.8 1791.1 96.6 0.68 7.1 24.17 45.02 0.5 0.46 1.86 40
1657.8 1791.1 93.1 1.33 25 2.34 39.55 3.2 1.17 16.9 43
1657.9 1841.6 114.8 1.08 52.3 0.18 3.63 8 2.71 20.17 10
1657.9 1801.9 93 2.68 19.8 9.75 40.79 2.8 1.02 4.18 42
1657.9 1801.9 96.5 2.41 22.9 5.32 35.6 3.2 1.22 6.69 70
1657.9 1790.1 114.8 0.82 45.8 0.42 4.93 12.7 2.24 11.74 10
1658 1769.8 96.8 2.8 11.5 12.91 51.71 1.3 0.56 4.01 42
1658 1769.8 93.3 4.04 10 17.03 48.43 1.2 0.48 2.84 40
1658 1670.6 90.2 0.82 7.8 14.98 62.5 0.8 0.34 4.17 80
1658 1670.6 86.7 1.16 8.6 17.87 56.73 1.2 0.4 3.17 40
1658 1683.7 128.7 0.57 37.5 0.2 10.9 18.9 1.57 54.5 13
1658 1651.9 125.5 0.94 55.2 0.5 3.9 7.4 1.98 7.8 10
1658.1 1746.7 90.4 0.71 19 21.12 32.83 2.6 0.72 1.55 42
1658.1 1746.7 86.9 1.32 31 5.47 25.95 4.8 1.25 4.74 42
1658.1 1652.8 114.6 1.26 25.6 9.91 32.23 4.2 1.66 3.25 42
1658.1 1721.3 96.7 1.4 21.1 1.85 45.79 2.2 1.01 24.75 43
1658.1 1721.3 93.2 1.96 25.4 4.64 36.65 3.1 1.32 7.9 43
1658.1 1661.2 114.8 1.93 30.1 4.95 31.54 4.3 2.26 6.37 42
1658.1 1708.6 103.3 1.38 37.8 1.23 17.55 5.8 2.68 14.27 44
1658.1 1708.6 99.8 1.39 41.3 1.14 16.3 6.3 2.84 14.3 44
1658.1 1763 96.9 0.53 10.8 19.31 48.91 1.5 0.48 2.53 40
1658.1 1763 93.4 4.07 12.9 13.2 45.83 2.1 0.72 3.47 42
1658.2 1687.2 120.8 0.99 49.2 0.5 5.3 11.2 1.92 10.6 10
1658.2 1677.4 95.9 1.72 17.3 12.23 43.24 2.5 0.83 3.54 42
1658.2 1677.4 92.4 2.14 19.5 5.35 46.37 2.8 1.04 8.67 42
1658.2 1725.1 103.4 1.62 45 1.31 12.03 7.2 3.17 9.18 44
1658.2 1725.1 99.9 1.51 34.2 1.51 20.97 4.9 2.45 13.89 43
1658.2 1729.4 115.1 1.46 48.6 0.68 6.69 11.6 2.64 9.84 44
1658.2 1771.6 82.8 1.9 7.7 26.02 46.23 1.2 0.35 1.78 50
1658.2 1771.6 79.3 1.17 7.5 26.56 46.09 1.1 0.35 1.74 50
1658.3 1841.9 92.8 1.84 32.1 2.42 22.51 6 1.66 9.3 43
1658.3 1841.9 96.3 2.29 27.6 4.31 30.62 5.2 1.41 7.1 42
1658.3 1780.2 93.2 2.39 19.1 9.97 40.42 2.5 0.79 4.05 42
1658.3 1780.2 96.7 3.42 15.8 13.93 45.14 2.5 0.78 3.24 42
1658.3 1645.7 108.7 0.63 10.1 23.7 47.45 1.7 0.7 2 40
1658.3 1757.6 99.8 1.4 32.9 1.36 26.14 5.4 2.15 19.22 43
1658.3 1700.6 125.9 0.69 40.4 0.5 7.7 15.5 1.57 15.4 10
1658.3 1836.5 103.5 2.07 38.5 3.13 20.06 5.1 2.37 6.41 44
1658.4 1798.2 121.8 0.33 33.7 0.53 9.72 22.2 2.06 18.34 13
1658.4 1795 114.9 0.81 45.4 0.46 5.09 13.5 2.41 11.07 10
1658.4 1658.8 89.7 1.75 9.1 22.33 45.66 0.9 0.54 2.04 40
1658.4 1658.8 86.2 1.44 8.7 24.35 46.19 1 0.39 1.9 40
1658.4 1741 99.9 1.02 27.4 1.28 35.1 4.1 1.95 27.42 43
1658.4 1741 115.2 1.56 49.1 0.72 7.42 9.2 2.29 10.31 44
1658.4 1663.4 108.6 2.58 33.2 3.72 25.87 5.1 3.96 6.95 42
1658.5 1723.2 115.2 1.12 46.2 0.9 6.21 13.3 2.87 6.9 10
1658.5 1648.9 103.7 0.45 7.5 23.64 40.67 1.1 0.48 1.72 40
1658.5 1648.9 100.2 0.22 5.6 25.11 38.33 0.7 0.33 1.53 50
1658.5 1773.9 103.2 1.1 40 1.85 12.02 7.6 2.29 6.5 44
1658.5 1756.1 96.9 3.05 12 15.4 47.86 2.3 0.52 3.11 42
1658.5 1756.1 93.4 2.81 11.7 14.08 51.11 1.7 0.5 3.63 42
1658.5 1664.2 120.4 1.03 53.4 0.6 3.4 9.4 2.34 5.67 10
1658.6 1830.2 92.9 3.52 13.9 17.55 39.86 2.2 0.75 2.27 42
1658.6 1830.2 96.4 1.09 11.2 20.17 48.06 1.1 0.64 2.38 40
1658.6 1711.9 115.3 1.04 45.6 1.02 4.99 15.8 3.54 4.89 10
1659 1714.1 96.6 2.09 21.6 11.02 38.68 3.4 1 3.51 42
1659 1714.1 93.1 2.15 21.6 5.73 40.74 4 1.28 7.11 42
1659 1677.5 114.9 1.34 47.6 0.79 9.82 7.6 3.18 12.43 44
1659 1735.2 96.7 1.65 13.7 6.59 58.75 1 0.64 8.92 42
1659 1735.2 93.2 1.61 13 6.01 61.01 0.9 0.5 10.15 80
1659 1768.7 122 0.38 31.3 0.53 13.8 22 1.9 26.04 13
1659 1681.1 103.3 2.05 15.5 6.62 53.49 1.8 0.89 8.08 42
1659 1681.1 99.8 3.15 15 11.26 45.29 2.3 0.87 4.02 42
1659.1 1801.2 82.6 3.68 11.4 15.54 51.01 2.1 0.65 3.28 42
1659.1 1801.2 79.1 2.99 18 9.52 44.94 2.6 1.14 4.72 42
1659.1 1646 134.9 0.72 49 0.9 4.5 12.2 1.74 5 10
1659.1 1818.9 92.8 3.38 15.6 9.5 47.22 1.4 0.76 4.97 42
1659.1 1818.9 96.3 3.24 15.7 9.11 47.94 1.3 0.79 5.26 42
1659.1 1742.2 96.7 0.68 23.4 1.57 48.54 2 0.94 30.92 43
1659.1 1742.2 93.2 0.53 19.2 1.15 56.22 1.1 0.67 48.89 43
1659.1 1651.7 134.5 0.7 47.6 1 5.4 12.6 2.03 5.4 10
1659.2 1820.9 121.9 0.7 37.7 0.68 8.93 17.1 2.75 13.13 13
1659.3 1699.7 90.4 1.26 12.2 10.9 59.05 1 0.53 5.42 42
1659.3 1699.7 86.9 1.78 17.4 10.15 49.12 2.7 0.77 4.84 42
1659.3 1669.4 120.3 1.01 54.8 0.3 3 5.9 2.26 10 10
1659.3 1685.5 115.1 1.44 53.6 0.56 5.88 8.2 3.35 10.5 44
1659.3 1670.2 108.4 2.55 21.6 6.33 43.24 2.4 1.71 6.83 42
1659.3 1652.7 108.6 0.63 11.4 23.24 46.72 1.9 0.71 2.01 40
1659.3 1647.1 86.2 0.37 6.8 30.3 44.21 0.7 0.28 1.46 50
1659.3 1647.1 89.7 0.25 5.9 36.18 40.41 0.9 0.25 1.12 60
1659.3 1719.3 120.6 0.71 39.8 0.4 6.5 16 1.72 16.25 10
1659.4 1803.5 114.9 0.81 45 0.45 3.83 14.4 2.62 8.51 10
1659.4 1697.1 103.1 2.53 19.8 6.27 45.49 2.3 1.26 7.26 42
1659.4 1697.1 99.6 3.14 12.8 8.95 53.28 1.6 0.85 5.95 42
1659.5 1717.6 121.5 0.77 39.7 1.33 8.33 15.9 2.47 6.26 10
1659.5 1724.7 121.6 0.75 41 0.9 8.87 17.3 2.43 9.86 10
1659.5 1688.1 90.6 1.43 6.4 7.5 72.67 0.5 0.29 9.69 80
1660.8 1727.4 90.5 1.35 12.2 14.59 54.16 1.3 0.56 3.71 42
1660.8 1727.4 87 1.86 14.8 11.92 51.53 1.9 0.67 4.32 42
1660.8 1700.2 96.4 1.55 15.8 5.87 51.62 1.7 0.83 8.79 42
1660.8 1700.2 92.9 1.35 11.9 8.04 59.79 1 0.6 7.44 42
1660.8 1686 103.1 1.77 18.9 5.13 49.5 1.9 1.03 9.65 42
1660.8 1686 99.6 2.33 17.1 5.4 51.07 1.9 1.06 9.46 42
1660.8 1689.7 128.4 0.5 35.7 0.2 11.4 20.3 1.39 57 13
1660.8 1840.7 99.8 1.35 43.2 3.98 13.97 5.8 2.48 3.51 44
1660.8 1840.7 103.3 2.31 38.7 3.77 18.8 6 2.51 4.99 44
1660.8 1818.7 114.9 0.68 48.4 0.39 3.67 12.2 2.43 9.41 10
1660.8 1780.7 96.7 0.92 14.9 2.52 59.41 1.6 0.48 23.58 42
1660.8 1780.7 93.2 1.91 13.7 4.91 58.51 2.6 0.58 11.92 42
1660.9 1716.2 90.5 1.24 12.1 14.73 52.2 1.7 0.6 3.54 42
1660.9 1716.2 87 1.61 14.7 11.53 50 2.2 0.63 4.34 42
1660.9 1641.7 108.6 0.45 8.5 24.35 46.13 1.2 0.58 1.89 40
1660.9 1816.7 106.3 1.26 51.5 1.14 5.48 7.9 2.84 4.81 44
1660.9 1826.5 82.4 2.46 9.7 11.01 60.08 1 0.48 5.46 80
1660.9 1826.5 78.9 2.64 9.6 16.66 53.34 0.8 0.49 3.2 40
1660.9 1834.9 89.6 0.4 6.6 25.31 42.56 0.7 0.32 1.68 50
1660.9 1834.9 86.1 2.64 16.1 11.94 47.76 0.8 0.76 4 42
1660.9 1762.1 122 0.38 30.6 0.58 15.07 22 1.91 25.98 13
1660.9 1652.3 89.6 0.29 6.4 35.02 41.07 0.7 0.28 1.17 60
1660.9 1652.3 86.1 0.43 6.3 33.6 41.49 0.6 0.27 1.23 60
1660.9 1771.9 114.7 1 47.1 0.5 5.75 11.5 2.5 11.5 10
1660.9 1823.9 89.6 2.41 13.1 10.48 53.58 0.9 0.62 5.11 42
1660.9 1823.9 86.1 2.87 11.9 13.83 51.97 0.9 0.6 3.76 42
1661 1675.3 128.8 0.75 45.1 0.4 7.4 15 1.96 18.5 10
1661 1823.7 92.8 2.48 18.5 5.77 48.09 1.9 0.96 8.33 42
1661 1823.7 96.3 2.38 20.8 4.67 44.64 2.4 0.97 9.56 42
1661 1714.8 120.6 0.7 40.4 0.5 7.9 16.9 1.67 15.8 10
1661 1772.4 93.3 2.93 15.3 5.85 51.27 2.3 0.68 8.76 42
1661 1772.4 96.8 3.68 12.3 10.7 53.12 1.4 0.58 4.96 42
1661.1 1693.3 96.5 2.21 8.8 18.01 52.46 0.6 0.45 2.91 42
1661.1 1693.3 93 2.53 8.4 18.35 53.35 0.5 0.52 2.91 42
1661.1 1814 121.8 0.73 39.5 0.78 9.7 16.2 2.68 12.44 10
1661.2 1735.4 103.4 1.59 42.5 1.29 13.95 7.5 3.03 10.81 44
1661.2 1735.4 99.9 1.73 35.4 2.26 22.6 7.2 2.81 10 44
1661.2 1702.1 103.2 1.38 26.1 1.64 38.23 2.8 2.38 23.31 43
1661.2 1702.1 99.7 1.21 24.9 1.62 42.25 3.1 2.23 26.08 43
1661.2 1790.8 108 1.31 51.7 0.44 4.29 9.9 2 9.75 44
1661.2 1834.4 107.8 1.34 49.5 1.1 6.67 8.1 2.76 6.06 44
1661.2 1718.7 103.3 1.57 39.4 0.81 18.2 4.9 3.09 22.47 44
1661.2 1718.7 99.8 1.44 34.6 1.12 25.31 4.3 2.46 22.6 43
1661.2 1704.8 87 1.59 20.8 3.41 51.65 1.5 1.31 15.15 42
1661.2 1704.8 90.5 1.34 18.5 6.2 50.25 2.1 0.93 8.1 42
1661.2 1823.5 114.9 0.75 48.5 0.35 3.9 12.8 2.55 11.14 10
1661.2 1773.6 96.7 1.25 11.2 2.67 63.58 1.5 0.51 23.81 80
1661.2 1773.6 93.2 1.1 9.3 2.18 70.28 1.3 0.44 32.24 80
1661.2 1725.1 93.2 2.89 11.8 15.53 47.59 1.1 0.57 3.06 42
1661.2 1725.1 96.7 2.26 24 4.93 38.57 2.9 0.86 7.82 43
1661.3 1710 126.1 0.59 38.7 0.7 11 16.9 1.55 15.71 10
1661.3 1825.5 121.9 0.71 37.4 0.8 10.62 17.1 2.74 13.28 13
1661.3 1765.2 82.8 4.01 9.1 18.96 49.58 1.4 0.45 2.61 40
1661.3 1765.2 79.3 2.01 9.4 21.79 48.56 1.1 0.43 2.23 40
1661.4 1642.5 100.3 0.27 5.8 28.71 38.01 1 0.39 1.32 50
1661.4 1642.5 103.8 0.32 6.5 28.14 40.86 1.1 0.46 1.45 50
1661.4 1773.2 121.9 0.39 33.3 0.65 13.05 21.1 1.91 20.08 13
1661.4 1751.3 103.3 1.43 40.5 1.05 16.66 8.7 2.43 15.87 44
1661.4 1751.3 99.8 1.86 45.3 1.02 8.86 8.3 2.97 8.69 44
1661.4 1826.5 96.3 2.34 21.4 6.07 40.97 2.8 0.85 6.75 42
1661.4 1826.5 92.8 2.73 17.4 9.46 45.42 1.9 0.77 4.8 42
1661.4 1705.4 120.5 0.82 43.7 0.5 5.3 15.5 1.9 10.6 10
1661.5 1766.6 96.8 2.99 15 9.89 48.2 1.9 0.71 4.87 42
1661.5 1766.6 93.3 2.06 26.4 2.94 33.7 4.8 1.43 11.46 42
1661.5 1811.8 89.7 1.33 23.7 4.42 40.74 2.6 0.94 9.22 42
1661.5 1811.8 86.2 0.86 18.7 1.47 54.16 2.2 0.74 36.84 43
1661.5 1684.1 108.3 1.12 26.1 1.36 45.2 3.5 1.71 33.24 43
1661.5 1673.5 95.9 0.61 8 22.26 48.05 1.5 0.44 2.16 40
1661.5 1673.5 92.4 0.57 7.8 22.13 48.14 1.2 0.39 2.18 40
1661.5 1695.8 128.3 0.46 34 0.2 15.7 21.4 1.22 78.5 13
1661.6 1830.9 82.3 3.1 10.5 18.49 49.36 0.7 0.54 2.67 40
1661.6 1830.9 78.8 1.9 10.1 7.87 63.94 0.5 0.46 8.12 80
1661.6 1811.8 96.4 1.53 33.4 1.54 26.75 2.9 1.4 17.37 43
1661.6 1811.8 92.9 1.78 36.5 3.94 23.06 4.6 1.55 5.85 24
1661.6 1745 82.6 3.34 11.3 14.85 50.97 1.5 0.55 3.43 42
1661.6 1745 79.1 3.21 11 13.88 53.78 0.7 0.48 3.87 42
1661.6 1671 129 0.6 43.6 0.2 3.9 14.2 1.78 19.5 10
1661.6 1641.5 114.1 1.79 23.7 9.43 35.17 3.1 1.77 3.73 42
1661.6 1777.4 114.8 1.02 45.3 0.59 6.67 13.2 2.79 11.31 10
1661.6 1692.8 90.4 2.61 7.7 12.99 61.35 0.6 0.37 4.72 80
1661.6 1692.8 86.9 3.3 9.1 11.52 59.74 0.7 0.48 5.19 42
1661.6 1658.7 103.8 0.92 9.8 23.48 46.55 1.9 0.64 1.98 40
1661.6 1658.7 100.3 1.05 8.7 22.27 43.58 1.4 0.55 1.96 40
1661.6 1721.3 121.4 0.69 35.9 4.98 12.36 15.7 2.25 2.48 42
1661.6 1811.7 104.3 1.39 49.3 0.92 6.67 9.3 3.47 7.25 44
1661.6 1811.7 100.8 1.61 49.1 0.82 6.17 7.7 3.96 7.52 44
1661.6 1832.8 105.7 1.49 48 0.74 8.55 7.7 2.8 11.55 24
1661.7 1696.4 120.6 0.91 43.5 0.5 4.8 15.4 1.97 9.6 10
1661.7 1800.1 89.7 2.59 13.1 17.51 45.47 2 0.62 2.6 42
1661.7 1800.1 86.2 1.88 14 11.65 50.42 2.3 0.64 4.33 42
1661.7 1685.5 95.9 1.63 19.2 4.97 49.67 2.7 1.03 9.99 42
1661.7 1685.5 92.4 1.68 19.2 6.47 49.12 2.6 1.04 7.59 42
1661.7 1794.9 107.2 1.47 49.9 0.76 5.48 9.1 2.53 7.21 44
1661.8 1780 82.8 1.9 9.8 20.61 46.4 0.8 0.46 2.25 40
1661.8 1780 79.3 2.25 10.8 16.2 50.87 1 0.56 3.14 42
1661.8 1648.9 108.6 0.24 5.9 24.35 37.15 1.1 0.37 1.53 50
1661.8 1649 114.3 1.12 17.5 9.91 48.01 2.3 1.03 4.84 42
1661.8 1691.1 108.3 1.65 41 1.66 20.66 8.4 3.14 12.45 44
1661.9 1828.5 114.8 0.9 51 0.27 3.46 10 2.73 12.81 10
1661.9 1778.1 90 2.71 10.2 14.41 54.34 1.2 0.47 3.77 42
1661.9 1778.1 86.5 2.66 10.5 15.39 52.56 1.1 0.49 3.42 42
1661.9 1796.8 101.9 1.64 45.5 0.91 7.79 7.5 2.67 8.56 44
1661.9 1822.6 100.4 1.75 47.8 1.1 10.5 6.5 3.01 9.55 44
1661.9 1822.6 103.9 1.6 49.5 1.01 8.25 7.5 2.87 8.17 44
1661.9 1666.5 129.1 0.83 53 0.2 5 10 1.41 25 10
1662 1718.3 96.7 1.57 25.1 2.84 40.07 3.6 1.35 14.11 43
1662 1718.3 93.2 1.49 11.8 12.67 52.43 1.6 0.5 4.14 42
1662 1783.1 103.2 1.36 44.1 1.74 11.48 8.2 2.4 6.6 44
1662 1783.1 99.7 1.42 37.4 3.39 18.83 6.4 2.03 5.55 44
1662 1759.7 96.9 0.99 35.1 2.81 23.59 6.2 1.36 8.4 44
1662 1759.7 93.4 4.32 13.9 13.92 41.74 2.9 0.83 3 42
1662 1784.4 121.9 0.35 32.5 0.61 11.84 23.3 1.87 19.41 13
1662 1788.8 89.8 0.99 17.4 2.88 54.16 2 0.73 18.81 42
1662 1788.8 86.3 0.85 15.5 1.96 59.56 2.1 0.65 30.39 42
1662 1674.6 103.4 1.63 10.2 15.71 54.05 0.8 0.65 3.44 42
1662 1674.6 99.9 1.97 9.3 19.34 52.81 1.4 0.77 2.73 40
1662 1835.9 82.4 1.91 16.2 10.08 49.93 0.9 0.84 4.95 42
1662 1835.9 78.9 2.57 13.6 14.04 48.88 0.7 0.71 3.48 42
1662 1767.1 90.1 2.84 12 15.75 48.32 1.9 0.61 3.07 42
1662 1767.1 86.6 3.02 10.8 16.38 49.55 1.9 0.54 3.03 42
1662.1 1640.4 89.5 0.28 6.3 33.49 41.07 0.8 0.28 1.23 60
1662.1 1640.4 86 0.25 6.2 35.87 39.45 0.7 0.26 1.1 60
1662.1 1755.8 90.2 2.34 9.4 13.56 57.37 1.5 0.41 4.23 42
1662.1 1755.8 86.7 4.25 8.8 5.07 66.09 1.1 0.37 13.04 80
1662.1 1656.5 114.5 2.15 18.4 13.35 42.53 3 1.11 3.19 42
1662.1 1686.3 96.5 1.55 17.2 6.59 51.38 1.9 0.77 7.8 42
1662.1 1686.3 93 1.77 18.4 7.24 47.93 2.2 0.97 6.62 42
1662.1 1797.2 107.8 1.01 49.3 0.61 4.05 11.5 2.71 6.64 10
1662.2 1687.3 120.5 0.92 49.7 0.5 3.4 11.8 2.18 6.8 10
1662.2 1732.5 121.8 0.63 39.6 0.74 10.85 17.4 2.19 14.66 10
1662.2 1789.2 93.1 1.23 26.5 1.67 37.93 3.1 1.32 22.71 43
1663.2 1828.1 96.4 1.69 27.1 2.97 34.89 3.4 1.25 11.75 43
1663.2 1682.9 120.3 1.1 52.1 0.3 4.6 8 1.74 15.33 10
1663.2 1780 107.9 1.38 46.2 0.87 8.04 9.8 2.92 9.24 44
1663.2 1766.5 121.9 0.52 34.8 0.64 11.01 19.6 2.23 17.2 13
1663.2 1680.4 108.4 1.78 36.4 1.43 27.78 5.7 2.56 19.43 44
1663.2 1646.9 92.6 0.23 5.7 36.42 40.17 1.2 0.24 1.1 60
1663.2 1646.9 96.1 0.23 5.5 36.29 39.24 1 0.25 1.08 60
1663.3 1762.9 121.9 0.48 34.4 0.77 11.66 21 2.2 15.14 13
1663.3 1653.3 125.2 0.65 49.6 0.3 6.7 9.5 2.11 22.33 10
1663.3 1741.7 121.9 0.55 34.6 0.73 15.6 20.7 1.96 21.37 13
1663.3 1748.8 121.9 0.65 38.6 0.8 10.57 18.1 2.34 13.21 10
1663.3 1816.9 89.6 2.97 10.8 17.15 51.42 0.9 0.51 3 42
1663.3 1816.9 86.1 2.79 10.7 15.41 52.56 1.3 0.51 3.41 42
1663.3 1840.6 107.8 1.46 49.1 0.81 7.19 7.4 3 8.88 24
1663.3 1663.6 103.6 1.03 10.6 19.87 49.14 1.5 0.69 2.47 40
1663.3 1663.6 100.1 0.59 8.7 24.34 46.88 1 0.59 1.93 40
1663.4 1709.3 90.5 2.99 13.1 11.68 51.85 1.9 0.62 4.44 42
1663.4 1709.3 87 2.35 11.8 12.04 55.15 1.5 0.52 4.58 42
1663.4 1790.6 121.7 0.49 36 0.84 10.14 19.5 2.27 12.07 13
1663.4 1704.4 96.3 1.3 23.6 1.95 44.41 2.9 1.02 22.77 43
1663.4 1704.4 92.8 2 14.8 4.17 54.62 1.6 0.73 13.1 43
1663.5 1688.9 115 1.47 49.5 0.53 6.96 9 3.3 13.13 44
1663.5 1772.4 103.3 1.42 38.7 1.54 17.53 7.3 2.48 11.38 44
1663.5 1772.4 99.8 1.75 28 5.25 29.9 4.7 1.56 5.7 42
1663.5 1784.2 82.7 1.78 16.2 3.44 55.83 2 0.87 16.23 42
1663.5 1784.2 79.2 1.87 11.4 4.19 66.44 1.4 0.54 15.86 80
1663.5 1816.9 96.4 1.51 29.9 1.65 33.01 2.7 1.26 20.01 43
1663.5 1816.9 92.9 1.45 28.8 1.56 34.47 3.4 1.3 22.1 43
1663.5 1783.7 121.8 0.4 33.4 0.63 11.85 21.4 1.9 18.81 13
1663.5 1769.8 121.8 0.46 33.3 0.6 11.79 20.2 2.09 19.65 13
1663.5 1669.1 120.2 1.27 49 1 7.8 5.7 1.92 7.8 24
1663.5 1827.1 106 1.27 49.1 1.11 6.58 9.6 3.21 5.93 44
1663.6 1765.3 96.7 1.7 29.8 2.22 28.98 4 1.44 13.05 43
1663.6 1765.3 93.2 2.19 19.9 4.06 44.86 2.6 0.9 11.05 42
1663.6 1797 114.9 0.79 44.6 0.39 5.45 14 2.38 13.97 10
1663.6 1645.6 89.5 0.36 6.4 33.86 42.19 1 0.27 1.25 60
1663.6 1645.6 86 0.38 6.1 34.22 42.55 0.8 0.28 1.24 60
1663.6 1678.4 120.3 1.02 50.9 0.4 4.7 8.6 2.07 11.75 10
1663.6 1789.2 107.5 1.28 49.1 0.81 6.43 9.6 2.56 7.94 44
1663.6 1654.8 125.3 1.02 55.1 0.4 3.9 7.4 2.35 9.75 10
1663.6 1654.7 92.6 0.31 5.9 28.87 46.72 0.7 0.27 1.62 50
1663.6 1654.7 96.1 0.57 6.9 29.97 45.7 1.2 0.31 1.52 50
1663.7 1679.5 103.3 1.77 23.9 4.5 38.8 3.5 1.85 8.62 42
1663.7 1679.5 99.8 1.76 21.2 8.06 39.48 3.7 1.83 4.9 42
1663.7 1646.4 130 0.71 47.8 0.3 5.2 11.9 2.51 17.33 10
1663.7 1697.6 90.3 2.83 13.4 10.35 54.07 1 0.68 5.22 42
1663.7 1697.6 86.8 2.56 15.6 7.02 53.28 1.5 0.82 7.59 42
1663.7 1696.7 115 1.2 47.8 0.69 5.64 12.3 3.09 8.17 44
1663.8 1662.9 108.6 1.98 17.4 13.85 41.9 3.7 1.36 3.03 42
1663.8 1803.4 129.1 1.02 41 3.23 12.45 11 2.94 3.85 10
1663.8 1787.1 107.8 1.3 52 0.61 6.01 9.9 2.52 9.85 44
1663.9 1801.3 114.9 0.76 44 0.65 6.25 13.7 2.33 9.62 10
1663.9 1659.8 120 2.57 23.8 5.2 39.1 1.7 0.79 7.52 30
1663.9 1799.4 82.5 2.61 13.4 12.71 48.45 2.3 0.71 3.81 42
1663.9 1799.4 79 3.01 12.7 13.7 46.28 2.2 0.69 3.38 42
1663.9 1777.6 121.9 0.48 36.2 0.46 13.62 19.4 1.81 29.61 13
1663.9 1662.3 96.1 0.28 6.3 29.46 44.4 0.9 0.28 1.51 50
1663.9 1662.3 92.6 0.3 6.2 29.11 43.91 0.8 0.27 1.51 50
1663.9 1695.8 103 3.66 13.7 7.43 53.27 1.6 1.02 7.17 42
1663.9 1695.8 99.5 3.57 14.3 6.77 52.66 1.7 1.03 7.78 42
1663.9 1799.5 129 1.17 40.7 1.75 9.66 13.3 3.53 5.52 44
1664 1804.6 89.7 2.65 18.1 10.52 43.07 2.2 1.11 4.09 42
1664 1804.6 86.2 3.22 14.1 15.73 44.87 2.3 0.84 2.85 42
1664 1705 108.1 1.37 48.4 1.13 8.57 9.6 2.83 7.58 44
1664 1729 103.3 1.5 32.3 2.13 28.19 5.3 2.05 13.23 43
