,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
1.52200e-02,-3.04e+00,-1.57e+00,6.08e-01,-4.61e+01, 
1.53200e-02,-3.04e+00,-1.57e+00,6.24e-01,-4.54e+01, 
1.54200e-02,-3.04e+00,-1.69e+00,6.86e-01,-4.39e+01, 
1.55200e-02,-3.04e+00,-1.69e+00,6.86e-01,-4.32e+01, 
1.56200e-02,-2.96e+00,-1.76e+00,7.18e-01,-4.18e+01, 
1.57200e-02,-2.88e+00,-1.76e+00,7.64e-01,-4.18e+01, 
1.58200e-02,-2.96e+00,-1.88e+00,7.18e-01,-3.89e+01, 
1.59200e-02,-2.88e+00,-1.88e+00,7.64e-01,-3.82e+01, 
1.60200e-02,-2.80e+00,-1.96e+00,8.27e-01,-3.67e+01, 
1.61200e-02,-2.84e+00,-2.00e+00,8.11e-01,-3.60e+01, 
1.62200e-02,-2.72e+00,-2.08e+00,8.27e-01,-3.38e+01, 
1.63200e-02,-2.76e+00,-2.04e+00,8.27e-01,-3.31e+01, 
1.64200e-02,-2.64e+00,-2.12e+00,8.89e-01,-3.02e+01, 
1.65200e-02,-2.64e+00,-2.12e+00,8.89e-01,-3.02e+01, 
1.66200e-02,-2.56e+00,-2.20e+00,9.36e-01,-2.74e+01, 
1.67200e-02,-2.56e+00,-2.16e+00,9.36e-01,-2.74e+01, 
1.68200e-02,-2.44e+00,-2.23e+00,9.83e-01,-2.45e+01, 
1.69200e-02,-2.44e+00,-2.23e+00,9.36e-01,-2.38e+01, 
1.70200e-02,-2.32e+00,-2.27e+00,9.83e-01,-2.16e+01, 
1.71200e-02,-2.32e+00,-2.27e+00,9.52e-01,-2.09e+01, 
1.72200e-02,-2.20e+00,-2.35e+00,1.03e+00,-1.80e+01, 
1.73200e-02,-2.16e+00,-2.31e+00,9.83e-01,-1.80e+01, 
1.74200e-02,-2.04e+00,-2.39e+00,1.05e+00,-1.44e+01, 
1.75200e-02,-2.04e+00,-2.39e+00,1.08e+00,-1.44e+01, 
1.76200e-02,-1.88e+00,-2.39e+00,1.03e+00,-1.08e+01, 
1.77200e-02,-1.88e+00,-2.43e+00,1.05e+00,-1.08e+01, 
1.78200e-02,-1.76e+00,-2.39e+00,9.98e-01,-7.92e+00, 
1.79200e-02,-1.76e+00,-2.39e+00,1.05e+00,-7.20e+00, 
1.80200e-02,-1.60e+00,-2.43e+00,9.98e-01,-4.32e+00, 
1.81200e-02,-1.60e+00,-2.43e+00,9.98e-01,-4.32e+00, 
1.82200e-02,-1.44e+00,-2.39e+00,1.06e+00,-7.20e-01, 
1.83200e-02,-1.40e+00,-2.39e+00,1.05e+00,-7.20e-01, 
1.84200e-02,-1.28e+00,-2.47e+00,1.09e+00,2.16e+00, 
1.85200e-02,-1.24e+00,-2.43e+00,1.05e+00,2.16e+00, 
1.86200e-02,-1.08e+00,-2.39e+00,1.01e+00,5.04e+00, 
1.87200e-02,-1.08e+00,-2.39e+00,9.98e-01,5.76e+00, 
1.88200e-02,-9.20e-01,-2.35e+00,1.05e+00,9.36e+00, 
1.89200e-02,-9.20e-01,-2.39e+00,9.83e-01,9.36e+00, 
1.90200e-02,-7.20e-01,-2.31e+00,1.03e+00,1.22e+01, 
1.91200e-02,-7.20e-01,-2.35e+00,1.05e+00,1.22e+01, 
1.92200e-02,-5.20e-01,-2.27e+00,9.83e-01,1.51e+01, 
1.93200e-02,-4.80e-01,-2.27e+00,1.01e+00,1.58e+01, 
1.94200e-02,-3.60e-01,-2.23e+00,9.83e-01,1.87e+01, 
1.95200e-02,-3.20e-01,-2.23e+00,9.98e-01,1.94e+01, 
1.96200e-02,-1.20e-01,-2.16e+00,9.36e-01,2.23e+01, 
1.97200e-02,-1.60e-01,-2.16e+00,9.36e-01,2.30e+01, 
1.98200e-02,8.00e-02,-2.12e+00,9.83e-01,2.52e+01, 
1.99200e-02,8.00e-02,-2.12e+00,9.20e-01,2.52e+01, 
2.00200e-02,2.80e-01,-2.00e+00,8.58e-01,2.81e+01, 
2.01200e-02,2.80e-01,-2.04e+00,9.05e-01,2.88e+01, 
2.02200e-02,4.80e-01,-1.92e+00,8.42e-01,3.10e+01, 
2.03200e-02,4.80e-01,-1.92e+00,8.42e-01,3.17e+01, 
2.04200e-02,6.40e-01,-1.84e+00,8.27e-01,3.31e+01, 
2.05200e-02,6.80e-01,-1.84e+00,8.42e-01,3.38e+01, 
2.06200e-02,8.40e-01,-1.72e+00,7.96e-01,3.60e+01, 
2.07200e-02,8.80e-01,-1.69e+00,7.80e-01,3.67e+01, 
2.08200e-02,1.04e+00,-1.61e+00,7.18e-01,3.89e+01, 
2.09200e-02,1.04e+00,-1.61e+00,7.18e-01,3.89e+01, 
2.10200e-02,1.20e+00,-1.49e+00,6.86e-01,4.10e+01, 
2.11200e-02,1.24e+00,-1.49e+00,7.02e-01,4.18e+01, 
2.12200e-02,1.40e+00,-1.37e+00,6.24e-01,4.32e+01, 
2.13200e-02,1.40e+00,-1.37e+00,6.24e-01,4.32e+01, 
2.14200e-02,1.60e+00,-1.25e+00,6.08e-01,4.54e+01, 
2.15200e-02,1.60e+00,-1.25e+00,6.08e-01,4.61e+01, 
2.16200e-02,1.76e+00,-1.14e+00,5.46e-01,4.75e+01, 
2.17200e-02,1.80e+00,-1.10e+00,5.62e-01,4.75e+01, 
2.18200e-02,1.92e+00,-1.02e+00,4.99e-01,4.82e+01, 
2.19200e-02,1.92e+00,-1.02e+00,4.68e-01,4.90e+01, 
2.20200e-02,2.00e+00,-8.62e-01,3.74e-01,5.11e+01, 
2.21200e-02,2.04e+00,-8.62e-01,3.28e-01,5.04e+01, 
2.22200e-02,2.20e+00,-7.06e-01,3.74e-01,5.11e+01, 
2.23200e-02,2.20e+00,-7.06e-01,3.74e-01,5.11e+01, 
2.24200e-02,2.32e+00,-5.88e-01,3.12e-01,5.26e+01, 
2.25200e-02,2.32e+00,-5.88e-01,3.12e-01,5.18e+01, 
2.26200e-02,2.48e+00,-4.31e-01,2.18e-01,5.33e+01, 
2.27200e-02,2.48e+00,-4.31e-01,2.65e-01,5.33e+01, 
2.28200e-02,2.52e+00,-2.74e-01,1.40e-01,5.33e+01, 
2.29200e-02,2.52e+00,-2.74e-01,1.09e-01,5.33e+01, 
2.30200e-02,2.64e+00,-1.18e-01,7.80e-02,5.40e+01, 
2.31200e-02,2.68e+00,-1.57e-01,9.36e-02,5.40e+01, 
2.32200e-02,2.76e+00,0.00e+00,3.12e-02,5.33e+01, 
2.33200e-02,2.72e+00,0.00e+00,3.12e-02,5.40e+01, 
2.34200e-02,2.84e+00,1.96e-01,-1.56e-02,5.33e+01, 
2.35200e-02,2.84e+00,1.57e-01,-1.56e-02,5.40e+01, 
2.36200e-02,2.88e+00,3.14e-01,-1.09e-01,5.33e+01, 
2.37200e-02,2.84e+00,3.14e-01,-1.25e-01,5.33e+01, 
2.38200e-02,2.96e+00,4.31e-01,-1.72e-01,5.33e+01, 
2.39200e-02,2.96e+00,4.70e-01,-1.56e-01,5.33e+01, 
2.40200e-02,2.96e+00,5.88e-01,-2.34e-01,5.26e+01, 
2.41200e-02,2.96e+00,5.88e-01,-2.34e-01,5.26e+01, 
2.42200e-02,3.00e+00,7.45e-01,-2.96e-01,5.18e+01, 
2.43200e-02,3.04e+00,7.06e-01,-2.81e-01,5.11e+01, 
2.44200e-02,3.04e+00,8.23e-01,-3.43e-01,5.04e+01, 
2.45200e-02,3.04e+00,8.62e-01,-3.12e-01,5.04e+01, 
2.46200e-02,3.04e+00,9.80e-01,-4.06e-01,4.90e+01, 
2.47200e-02,3.08e+00,9.80e-01,-3.90e-01,4.82e+01, 
2.48200e-02,3.00e+00,1.10e+00,-4.99e-01,4.75e+01, 
2.49200e-02,3.04e+00,1.10e+00,-4.99e-01,4.75e+01, 
2.50200e-02,2.96e+00,1.25e+00,-5.77e-01,4.61e+01, 
2.51200e-02,3.04e+00,1.22e+00,-5.30e-01,4.61e+01, 
2.52200e-02,2.96e+00,1.37e+00,-6.08e-01,4.32e+01, 
2.53200e-02,2.96e+00,1.37e+00,-5.77e-01,4.32e+01, 
2.54200e-02,3.04e+00,1.45e+00,-6.55e-01,4.18e+01, 
2.55200e-02,3.00e+00,1.45e+00,-6.08e-01,4.18e+01, 
2.56200e-02,2.92e+00,1.57e+00,-6.71e-01,3.96e+01, 
2.57200e-02,2.96e+00,1.53e+00,-6.71e-01,3.89e+01, 
2.58200e-02,2.84e+00,1.65e+00,-7.64e-01,3.74e+01, 
2.59200e-02,2.84e+00,1.65e+00,-7.49e-01,3.67e+01, 
2.60200e-02,2.76e+00,1.80e+00,-8.11e-01,3.46e+01, 
2.61200e-02,2.80e+00,1.76e+00,-7.80e-01,3.38e+01, 
2.62200e-02,2.68e+00,1.80e+00,-8.27e-01,3.17e+01, 
2.63200e-02,2.72e+00,1.80e+00,-7.96e-01,3.17e+01, 
2.64200e-02,2.60e+00,1.92e+00,-8.74e-01,2.88e+01, 
2.65200e-02,2.60e+00,1.92e+00,-8.42e-01,2.88e+01, 
2.66200e-02,2.52e+00,2.00e+00,-9.05e-01,2.59e+01, 
2.67200e-02,2.52e+00,1.96e+00,-8.74e-01,2.59e+01, 
2.68200e-02,2.40e+00,2.04e+00,-9.36e-01,2.30e+01, 
2.69200e-02,2.40e+00,2.04e+00,-9.05e-01,2.30e+01, 
2.70200e-02,2.28e+00,2.08e+00,-9.52e-01,2.02e+01, 
2.71200e-02,2.28e+00,2.08e+00,-9.20e-01,1.94e+01, 
2.72200e-02,2.12e+00,2.12e+00,-9.98e-01,1.66e+01, 
2.73200e-02,2.12e+00,2.12e+00,-9.20e-01,1.66e+01, 
2.74200e-02,2.00e+00,2.16e+00,-1.01e+00,1.30e+01, 
2.75200e-02,1.96e+00,2.20e+00,-1.01e+00,1.22e+01, 
2.76200e-02,1.84e+00,2.16e+00,-9.67e-01,1.01e+01, 
2.77200e-02,1.84e+00,2.16e+00,-1.01e+00,9.36e+00, 
2.78200e-02,1.68e+00,2.23e+00,-9.83e-01,6.48e+00, 
2.79200e-02,1.68e+00,2.20e+00,-1.01e+00,5.76e+00, 
2.80200e-02,1.56e+00,2.23e+00,-9.83e-01,2.88e+00, 
2.81200e-02,1.56e+00,2.20e+00,-9.83e-01,2.16e+00, 
2.82200e-02,1.40e+00,2.23e+00,-1.03e+00,-7.20e-01, 
2.83200e-02,1.40e+00,2.23e+00,-1.03e+00,-7.20e-01, 
2.84200e-02,1.24e+00,2.23e+00,-9.67e-01,-3.60e+00, 
2.85200e-02,1.20e+00,2.23e+00,-1.05e+00,-4.32e+00, 
2.86200e-02,1.08e+00,2.20e+00,-9.67e-01,-7.20e+00, 
2.87200e-02,1.04e+00,2.23e+00,-9.67e-01,-7.92e+00, 
2.88200e-02,8.40e-01,2.16e+00,-1.05e+00,-1.08e+01, 
2.89200e-02,8.40e-01,2.20e+00,-1.01e+00,-1.08e+01, 
2.90200e-02,6.80e-01,2.12e+00,-9.52e-01,-1.37e+01, 
2.91200e-02,6.80e-01,2.12e+00,-9.83e-01,-1.44e+01, 
2.92200e-02,5.20e-01,2.08e+00,-9.52e-01,-1.73e+01, 
2.93200e-02,4.40e-01,2.08e+00,-9.83e-01,-1.80e+01, 
2.94200e-02,2.80e-01,2.00e+00,-9.36e-01,-2.09e+01, 
2.95200e-02,2.80e-01,2.04e+00,-9.52e-01,-2.09e+01, 
2.96200e-02,1.20e-01,1.96e+00,-9.05e-01,-2.38e+01, 
2.97200e-02,1.20e-01,1.92e+00,-9.36e-01,-2.45e+01, 
2.98200e-02,-8.00e-02,1.92e+00,-8.42e-01,-2.66e+01, 
2.99200e-02,-1.20e-01,1.88e+00,-9.05e-01,-2.74e+01, 
3.00200e-02,-3.20e-01,1.80e+00,-8.42e-01,-3.02e+01, 
3.01200e-02,-3.20e-01,1.80e+00,-8.89e-01,-3.02e+01, 
3.02200e-02,-4.80e-01,1.72e+00,-8.11e-01,-3.31e+01, 
3.03200e-02,-5.20e-01,1.72e+00,-8.42e-01,-3.38e+01, 
3.04200e-02,-6.80e-01,1.61e+00,-7.80e-01,-3.60e+01, 
3.05200e-02,-7.20e-01,1.65e+00,-8.27e-01,-3.67e+01, 
3.06200e-02,-8.80e-01,1.49e+00,-7.33e-01,-3.89e+01, 
3.07200e-02,-8.80e-01,1.53e+00,-7.49e-01,-3.89e+01, 
3.08200e-02,-1.08e+00,1.41e+00,-6.86e-01,-4.10e+01, 
3.09200e-02,-1.08e+00,1.41e+00,-7.18e-01,-4.18e+01, 
3.10200e-02,-1.24e+00,1.33e+00,-6.24e-01,-4.32e+01, 
3.11200e-02,-1.28e+00,1.29e+00,-6.71e-01,-4.39e+01, 
3.12200e-02,-1.44e+00,1.22e+00,-5.93e-01,-4.54e+01, 
3.13200e-02,-1.48e+00,1.18e+00,-6.24e-01,-4.61e+01, 
3.14200e-02,-1.60e+00,1.06e+00,-5.62e-01,-4.75e+01, 
3.15200e-02,-1.60e+00,1.06e+00,-5.62e-01,-4.75e+01, 
3.16200e-02,-1.76e+00,9.41e-01,-5.15e-01,-4.90e+01, 
3.17200e-02,-1.80e+00,9.02e-01,-5.15e-01,-4.90e+01, 
3.18200e-02,-1.88e+00,8.23e-01,-4.21e-01,-5.11e+01, 
3.19200e-02,-1.92e+00,8.23e-01,-4.52e-01,-5.11e+01, 
3.20200e-02,-2.08e+00,6.66e-01,-3.43e-01,-5.18e+01, 
3.21200e-02,-2.08e+00,6.66e-01,-3.74e-01,-5.18e+01, 
3.22200e-02,-2.20e+00,5.49e-01,-2.81e-01,-5.33e+01, 
3.23200e-02,-2.20e+00,5.49e-01,-2.96e-01,-5.33e+01, 
3.24200e-02,-2.36e+00,3.92e-01,-2.34e-01,-5.47e+01, 
3.25200e-02,-2.40e+00,3.53e-01,-2.65e-01,-5.47e+01, 
3.26200e-02,-2.44e+00,2.74e-01,-1.56e-01,-5.47e+01, 
3.27200e-02,-2.44e+00,2.35e-01,-1.72e-01,-5.47e+01, 
3.28200e-02,-2.60e+00,1.18e-01,-1.09e-01,-5.62e+01, 
3.29200e-02,-2.60e+00,1.18e-01,-1.25e-01,-5.54e+01, 
3.30200e-02,-2.68e+00,-3.92e-02,-4.68e-02,-5.62e+01, 
3.31200e-02,-2.68e+00,-3.92e-02,-4.68e-02,-5.54e+01, 
3.32200e-02,-2.76e+00,-1.57e-01,1.56e-02,-5.69e+01, 
3.33200e-02,-2.76e+00,-1.96e-01,0.00e+00,-5.62e+01, 
3.34200e-02,-2.88e+00,-3.14e-01,1.09e-01,-5.54e+01, 
3.35200e-02,-2.84e+00,-3.53e-01,6.24e-02,-5.62e+01, 
3.36200e-02,-2.96e+00,-4.70e-01,1.56e-01,-5.54e+01, 
3.37200e-02,-2.96e+00,-5.10e-01,1.25e-01,-5.54e+01, 
3.38200e-02,-3.00e+00,-6.27e-01,2.03e-01,-5.54e+01, 
3.39200e-02,-2.96e+00,-6.27e-01,2.03e-01,-5.54e+01, 
3.40200e-02,-3.04e+00,-7.45e-01,2.96e-01,-5.47e+01, 
3.41200e-02,-3.04e+00,-7.84e-01,2.81e-01,-5.47e+01, 
3.42200e-02,-3.04e+00,-9.02e-01,3.43e-01,-5.33e+01, 
3.43200e-02,-3.04e+00,-9.41e-01,3.74e-01,-5.33e+01, 
3.44200e-02,-3.16e+00,-1.06e+00,3.28e-01,-5.18e+01, 
3.45200e-02,-3.08e+00,-1.06e+00,3.59e-01,-5.18e+01, 
3.46200e-02,-3.16e+00,-1.18e+00,4.37e-01,-5.04e+01, 
3.47200e-02,-3.08e+00,-1.18e+00,4.52e-01,-5.11e+01, 
3.48200e-02,-3.08e+00,-1.29e+00,5.30e-01,-4.90e+01, 
3.49200e-02,-3.04e+00,-1.29e+00,5.15e-01,-4.90e+01, 
3.50200e-02,-3.08e+00,-1.41e+00,5.77e-01,-4.75e+01, 
3.51200e-02,-3.04e+00,-1.41e+00,5.77e-01,-4.75e+01, 
3.52200e-02,-3.08e+00,-1.53e+00,6.40e-01,-4.54e+01, 
3.53200e-02,-3.04e+00,-1.57e+00,6.08e-01,-4.54e+01, 
3.54200e-02,-3.04e+00,-1.65e+00,6.55e-01,-4.39e+01, 
3.55200e-02,-3.04e+00,-1.69e+00,6.55e-01,-4.39e+01, 
3.56200e-02,-2.96e+00,-1.76e+00,7.18e-01,-4.18e+01, 
3.57200e-02,-2.96e+00,-1.76e+00,7.18e-01,-4.10e+01, 
3.58200e-02,-2.88e+00,-1.84e+00,7.64e-01,-3.89e+01, 
3.59200e-02,-2.88e+00,-1.84e+00,8.27e-01,-3.89e+01, 
3.60200e-02,-2.84e+00,-1.96e+00,7.64e-01,-3.67e+01, 
3.61200e-02,-2.84e+00,-2.00e+00,8.42e-01,-3.60e+01, 
3.62200e-02,-2.76e+00,-2.04e+00,8.27e-01,-3.38e+01, 
3.63200e-02,-2.72e+00,-2.04e+00,8.42e-01,-3.38e+01, 
3.64200e-02,-2.60e+00,-2.12e+00,9.20e-01,-3.02e+01, 
3.65200e-02,-2.64e+00,-2.12e+00,8.89e-01,-3.02e+01, 
3.66200e-02,-2.56e+00,-2.20e+00,9.36e-01,-2.74e+01, 
3.67200e-02,-2.52e+00,-2.16e+00,9.20e-01,-2.74e+01, 
3.68200e-02,-2.44e+00,-2.27e+00,9.52e-01,-2.45e+01, 
3.69200e-02,-2.44e+00,-2.27e+00,9.36e-01,-2.38e+01, 
3.70200e-02,-2.32e+00,-2.31e+00,9.98e-01,-2.09e+01, 
3.71200e-02,-2.32e+00,-2.27e+00,9.67e-01,-2.09e+01, 
3.72200e-02,-2.16e+00,-2.35e+00,1.01e+00,-1.87e+01, 
3.73200e-02,-2.16e+00,-2.35e+00,9.98e-01,-1.80e+01, 
3.74200e-02,-2.04e+00,-2.39e+00,1.05e+00,-1.44e+01, 
3.75200e-02,-2.04e+00,-2.35e+00,1.05e+00,-1.44e+01, 
3.76200e-02,-1.88e+00,-2.39e+00,1.01e+00,-1.08e+01, 
3.77200e-02,-1.88e+00,-2.39e+00,1.06e+00,-1.08e+01, 
3.78200e-02,-1.72e+00,-2.43e+00,9.98e-01,-7.92e+00, 
3.79200e-02,-1.72e+00,-2.39e+00,9.98e-01,-7.92e+00, 
3.80200e-02,-1.60e+00,-2.47e+00,1.06e+00,-4.32e+00, 
3.81200e-02,-1.60e+00,-2.43e+00,1.06e+00,-3.60e+00, 
3.82200e-02,-1.44e+00,-2.39e+00,1.01e+00,-1.44e+00, 
3.83200e-02,-1.44e+00,-2.43e+00,1.09e+00,-7.20e-01, 
3.84200e-02,-1.32e+00,-2.39e+00,1.01e+00,2.16e+00, 
3.85200e-02,-1.28e+00,-2.39e+00,1.03e+00,2.16e+00, 
3.86200e-02,-1.08e+00,-2.43e+00,1.06e+00,5.76e+00, 
3.87200e-02,-1.08e+00,-2.39e+00,1.05e+00,5.76e+00, 
3.88200e-02,-9.20e-01,-2.39e+00,1.01e+00,9.36e+00, 
3.89200e-02,-8.80e-01,-2.39e+00,9.98e-01,9.36e+00, 
3.90200e-02,-7.20e-01,-2.31e+00,1.05e+00,1.22e+01, 
3.91200e-02,-7.20e-01,-2.35e+00,1.01e+00,1.22e+01, 
3.92200e-02,-5.60e-01,-2.27e+00,9.83e-01,1.58e+01, 
3.93200e-02,-5.20e-01,-2.27e+00,1.01e+00,1.58e+01, 
3.94200e-02,-3.20e-01,-2.23e+00,9.83e-01,1.94e+01, 
3.95200e-02,-3.20e-01,-2.23e+00,9.36e-01,1.94e+01, 
3.96200e-02,-1.60e-01,-2.12e+00,9.98e-01,2.23e+01, 
3.97200e-02,-1.60e-01,-2.16e+00,9.52e-01,2.30e+01, 
3.98200e-02,4.00e-02,-2.08e+00,9.05e-01,2.52e+01, 
3.99200e-02,4.00e-02,-2.12e+00,9.36e-01,2.52e+01, 
4.00200e-02,2.40e-01,-2.00e+00,8.74e-01,2.81e+01, 
4.01200e-02,2.80e-01,-2.00e+00,9.05e-01,2.81e+01, 
4.02200e-02,4.40e-01,-1.92e+00,8.42e-01,3.10e+01, 
4.03200e-02,4.80e-01,-1.92e+00,8.89e-01,3.17e+01, 
4.04200e-02,6.80e-01,-1.84e+00,8.27e-01,3.38e+01, 
4.05200e-02,6.80e-01,-1.84e+00,8.42e-01,3.38e+01, 
4.06200e-02,8.40e-01,-1.72e+00,7.96e-01,3.67e+01, 
4.07200e-02,8.80e-01,-1.69e+00,7.96e-01,3.67e+01, 
4.08200e-02,1.00e+00,-1.61e+00,7.33e-01,3.82e+01, 
4.09200e-02,1.04e+00,-1.57e+00,6.86e-01,3.89e+01, 
4.10200e-02,1.24e+00,-1.49e+00,7.33e-01,4.10e+01, 
