,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-1.10800e-02,8.80e-01,2.16e+00,-9.98e-01,-1.08e+01, 
-1.09800e-02,7.20e-01,2.12e+00,-9.52e-01,-1.44e+01, 
-1.08800e-02,6.80e-01,2.12e+00,-9.52e-01,-1.44e+01, 
-1.07800e-02,4.80e-01,2.08e+00,-9.98e-01,-1.73e+01, 
-1.06800e-02,5.20e-01,2.08e+00,-9.98e-01,-1.80e+01, 
-1.05800e-02,2.80e-01,2.04e+00,-9.36e-01,-2.09e+01, 
-1.04800e-02,2.80e-01,2.00e+00,-9.67e-01,-2.09e+01, 
-1.03800e-02,1.20e-01,1.96e+00,-8.89e-01,-2.38e+01, 
-1.02800e-02,1.20e-01,1.96e+00,-9.20e-01,-2.45e+01, 
-1.01800e-02,-4.00e-02,1.88e+00,-8.42e-01,-2.66e+01, 
-1.00800e-02,-8.00e-02,1.88e+00,-9.05e-01,-2.74e+01, 
-9.98000e-03,-2.80e-01,1.80e+00,-8.27e-01,-2.95e+01, 
-9.88000e-03,-2.80e-01,1.80e+00,-8.74e-01,-3.02e+01, 
-9.78000e-03,-4.40e-01,1.72e+00,-8.11e-01,-3.31e+01, 
-9.68000e-03,-4.40e-01,1.72e+00,-8.42e-01,-3.38e+01, 
-9.58000e-03,-6.80e-01,1.65e+00,-7.80e-01,-3.60e+01, 
-9.48000e-03,-7.20e-01,1.65e+00,-8.11e-01,-3.67e+01, 
-9.38000e-03,-8.80e-01,1.53e+00,-7.33e-01,-3.89e+01, 
-9.28000e-03,-8.80e-01,1.53e+00,-7.33e-01,-3.89e+01, 
-9.18000e-03,-1.04e+00,1.41e+00,-6.71e-01,-4.10e+01, 
-9.08000e-03,-1.04e+00,1.45e+00,-6.86e-01,-4.18e+01, 
-8.98000e-03,-1.24e+00,1.33e+00,-6.24e-01,-4.32e+01, 
-8.88000e-03,-1.24e+00,1.29e+00,-6.24e-01,-4.39e+01, 
-8.78000e-03,-1.44e+00,1.22e+00,-6.71e-01,-4.54e+01, 
-8.68000e-03,-1.44e+00,1.18e+00,-6.24e-01,-4.54e+01, 
-8.58000e-03,-1.60e+00,1.06e+00,-5.62e-01,-4.75e+01, 
-8.48000e-03,-1.60e+00,1.06e+00,-5.62e-01,-4.75e+01, 
-8.38000e-03,-1.80e+00,9.41e-01,-5.15e-01,-4.90e+01, 
-8.28000e-03,-1.84e+00,9.41e-01,-5.15e-01,-4.90e+01, 
-8.18000e-03,-1.92e+00,7.84e-01,-4.21e-01,-5.11e+01, 
-8.08000e-03,-1.88e+00,8.23e-01,-4.06e-01,-5.11e+01, 
-7.98000e-03,-2.04e+00,6.66e-01,-3.59e-01,-5.18e+01, 
-7.88000e-03,-2.04e+00,6.66e-01,-3.43e-01,-5.18e+01, 
-7.78000e-03,-2.20e+00,5.49e-01,-2.96e-01,-5.33e+01, 
-7.68000e-03,-2.20e+00,5.49e-01,-2.65e-01,-5.26e+01, 
