fecha_exacta,dia,mes,media_de_espectadores,mensajes_del_chat,seguimientos,espectadores_maximos,minutos_de_emision,ingresos_por_suscripciones,ingresos_de_prime,ingresos_por_suscripciones_de_regalo,ingresos_por_bits,suscripciones_a_prime,total_de_suscripciones_de_pago,total_de_suscripciones_de_regalo
Tue May 04 2021,Tue,May,292.55,2310,342,339,84,0,1.7465,9.5655,0,1,0,5
Wed May 05 2021,Wed,May,197.47,1290,329,261,61,1.239,1.7465,8.12,3.79,1,1,5
Thu May 06 2021,Thu,May,137.08,1015,243,180,59,0,0,0,2.5,0,0,0
Fri May 07 2021,Fri,May,31.02,1250,219,152,244,1.239,0,0,0.2,0,1,0
Sat May 08 2021,Sat,May,61.82,3657,229,302,442,1.575,3.493,0,1.65,2,1,0
Sun May 09 2021,Sun,May,127.59,1957,92,254,143,4.06,0,0,1.3,0,3,0
Mon May 10 2021,Mon,May,111.55,2796,186,353,230,0,0,0,0.1,0,0,0
Tue May 11 2021,Tue,May,133.96,3296,111,357,190,0,0,0,2.3,0,0,0
Wed May 12 2021,Wed,May,53.63,1383,66,168,227,4.248,1.7465,13.0165,2.49,1,3,8
Thu May 13 2021,Thu,May,69.71,1452,46,161,184,0,0,0,0.65,0,0,0
Fri May 14 2021,Fri,May,0,20,12,0,0,1.239,1.7465,0,0.5,1,1,0
Sat May 15 2021,Sat,May,0,25,12,0,0,0,0,0,0,0,0,0
Sun May 16 2021,Sun,May,121.11,4164,126,244,200,0,0,0,0.04,0,0,0
Mon May 17 2021,Mon,May,219.38,1471,51,276,74,2.88,3.493,9.8525,48.06,2,2,6
Tue May 18 2021,Tue,May,157.09,1371,18,250,22,0,1.7465,0,1,1,0,0
Wed May 19 2021,Wed,May,188.38,1786,35,217,82,0,0,0,0.01,0,0,0
Thu May 20 2021,Thu,May,83.46,900,80,124,96,1.47,1.7465,0,5.11,1,1,0
Fri May 21 2021,Fri,May,132.01,1323,56,168,78,0,1.7465,0,0.5,1,0,0
Sat May 22 2021,Sat,May,0,31,19,0,0,0,0,2.989,2.89,0,0,2
Sun May 23 2021,Sun,May,78.88,3330,554,196,299,2.2715,0,1.575,1.28,0,1,1
Mon May 24 2021,Mon,May,238.12,2135,136,285,95,2.2715,0.7945,0,0.06,1,1,0
Tue May 25 2021,Tue,May,199.07,1910,110,274,83,4.403,3.493,3.696,26.44,2,3,2
Wed May 26 2021,Wed,May,109.1,758,38,141,69,1.575,3.493,0,0.25,2,1,0
Thu May 27 2021,Thu,May,54.66,1477,29,117,162,0,0,0,0,0,0,0
Fri May 28 2021,Fri,May,26.6,860,567,45,171,0,0,0,1,0,0,0
Sat May 29 2021,Sat,May,133.47,1543,9,163,81,1.575,1.7465,0,0,1,1,0
Sun May 30 2021,Sun,May,140.13,1410,32,188,94,6.104,0,0,0.59,0,3,0
Mon May 31 2021,Mon,May,181.43,2181,29,232,102,0,0,0,0.3,0,0,0
Tue Jun 01 2021,Tue,Jun,174.62,2030,38,212,91,0,0,0,6.5,0,0,0
Wed Jun 02 2021,Wed,Jun,88.81,1170,19,110,76,1.575,0,0,1.2,0,1,0
Thu Jun 03 2021,Thu,Jun,52.21,1668,14,83,127,3.8675,0,0,0.5,0,2,0
Fri Jun 04 2021,Fri,Jun,60.04,1250,35,133,119,0,0,1.575,0,0,0,1
Sat Jun 05 2021,Sat,Jun,140.95,1111,29,169,86,2.478,0,0,3.7,0,2,0
Sun Jun 06 2021,Sun,Jun,75.32,1245,38,186,188,2.772,1.7465,0,3.01,1,1,0
Mon Jun 07 2021,Mon,Jun,180.61,1913,38,228,93,2.366,3.493,0,5.03,2,2,0
Tue Jun 08 2021,Tue,Jun,101.81,1631,1406,190,88,0,1.7465,0,7.24,1,0,0
Wed Jun 09 2021,Wed,Jun,101.34,1397,227,165,118,0,0,0,0.5,0,0,0
Thu Jun 10 2021,Thu,Jun,35.45,1282,178,104,283,1.911,0,0,0.39,0,1,0
Fri Jun 11 2021,Fri,Jun,173.01,1400,62,234,96,0,0,0,0,0,1,0
Sat Jun 12 2021,Sat,Jun,69.18,2157,33,225,259,8.855,2.541,1.4,0.7,2,6,1
Sun Jun 13 2021,Sun,Jun,64.39,1887,27,196,237,9.016,0,1.575,0.3,0,5,1
Mon Jun 14 2021,Mon,Jun,167.77,1802,29,209,78,2.478,0,0,2.05,0,2,0
Tue Jun 15 2021,Tue,Jun,111.92,1939,26,221,126,1.127,0,0,0.05,0,1,0
Wed Jun 16 2021,Wed,Jun,138.99,1145,28,181,80,0,0,0,0.3,0,0,0
Thu Jun 17 2021,Thu,Jun,117.72,1347,14,250,83,2.78,1.7465,0,1.07,1,1,0
Fri Jun 18 2021,Fri,Jun,69.55,3051,2517,239,307,2.702,3.493,0,0,2,2,0
Sat Jun 19 2021,Sat,Jun,84.77,1667,30,194,141,4.207,3.493,0,3.95,2,3,0
Sun Jun 20 2021,Sun,Jun,167.57,2512,19,201,89,3.059,0,0,0,0,1,0
Mon Jun 21 2021,Mon,Jun,47,5064,30,69,174,2.8175,1.7465,13.0025,2.34,1,2,8
Tue Jun 22 2021,Tue,Jun,118.09,6705,25,169,82,0,0,0,0,0,0,0
Wed Jun 23 2021,Wed,Jun,106.4,666,23,123,57,0,1.7465,0,0.7,1,0,0
Thu Jun 24 2021,Thu,Jun,57.43,835,17,73,76,1.869,0,0,0.05,0,1,0
Fri Jun 25 2021,Fri,Jun,89.61,2955,30,174,196,0,0,0,1.99,0,0,0
Sat Jun 26 2021,Sat,Jun,40.98,2266,1065,56,231,1.575,1.7465,0,1.63,1,1,0
Sun Jun 27 2021,Sun,Jun,183.45,1433,42,233,76,0,0,0,0,0,0,0
Mon Jun 28 2021,Mon,Jun,206.43,1469,39,252,75,1.575,1.7465,0,0.15,1,1,0
Tue Jun 29 2021,Tue,Jun,80.38,1281,46,232,141,1.575,3.493,0,0.32,2,1,0
Wed Jun 30 2021,Wed,Jun,112.42,1088,16,133,80,6.224,0,0,0.09,0,5,0
Thu Jul 01 2021,Thu,Jul,70.78,8773,85,149,235,1.876,0,3.15,15,0,1,2
Fri Jul 02 2021,Fri,Jul,54.37,679,20,121,73,0,0,0,1.84,0,0,0
Sat Jul 03 2021,Sat,Jul,77.15,1235,17,171,131,0,0,0,0,0,0,0
Sun Jul 04 2021,Sun,Jul,113.42,1526,36,203,117,1.2425,3.493,0,0.09,2,1,0
Mon Jul 05 2021,Mon,Jul,179.83,2076,28,212,65,1.2425,0,1.2425,1.03,0,1,1
Tue Jul 06 2021,Tue,Jul,82.96,1880,38,214,168,1.6485,1.7465,8.2775,2.1,1,1,5
Wed Jul 07 2021,Wed,Jul,56.76,1415,23,114,138,1.6695,0,0,0,0,1,0
Thu Jul 08 2021,Thu,Jul,44.87,1475,16,80,141,3.164,0,0,0.95,0,2,0
Fri Jul 09 2021,Fri,Jul,94.87,867,29,124,60,0,1.7465,0,0,1,0,0
Sat Jul 10 2021,Sat,Jul,47.13,384,6,71,44,1.8375,0,0,0.08,0,1,0
Sun Jul 11 2021,Sun,Jul,41.56,2912,30,159,242,0,0,0,0.08,0,0,0
Mon Jul 12 2021,Mon,Jul,18.59,645,35,37,218,0,1.7465,0,0.05,1,0,0
Tue Jul 13 2021,Tue,Jul,0,0,6,0,0,1.575,0,0,0,0,1,0
